hid;geo1;geo2;ea;urbrur;hhsize;statocc;rooms;bedrooms;floor;walls;roof;water;toilet;electricity;cook_fuel;car;bicycle;motorcycle;refrigerator;tv;radio;bank;exp_01;exp_02;exp_03;exp_04;exp_05;exp_06;exp_07;exp_08;exp_09;exp_10;exp_11;exp_12;NIi;piIi;sI;nII;sII
03f6a8e247a;2;25;25010;1;7;1;2;1;1;2;8;11;96;1;5;0;0;0;0;1;0;0;4460;;;1482;398;167;;;;684;;;18294;0.0877495997809538;1;183;1
b4ca518b97b;2;25;25010;1;7;1;;2;2;2;5;42;;0;4;1;0;0;0;0;0;1;;;901;1055;;;;;417;;253;400;18294;0.0877495997809538;1;183;1
cebd5d55559;2;25;25010;1;7;2;2;2;1;2;7;11;23;0;4;;0;0;0;0;0;;4994;;;868;;;;;43;;159;;18294;0.0877495997809538;1;183;1
2c103906786;2;25;25011;1;7;1;;2;1;3;7;;23;0;4;;1;0;0;0;0;0;;;;;274;146;245;125;;;99;184;18294;0.0877495997809538;1;183;1
55fce1cb756;2;25;25011;1;8;1;1;1;2;3;5;21;31;1;6;0;0;0;1;;1;0;4282;;629;1919;;241;463;;214;777;;;18294;0.0877495997809538;1;183;1
1bd8a0edcb1;2;25;25011;1;8;1;;1;;3;5;32;31;0;4;0;0;0;0;0;1;0;4872;;;;204;;;18;;49;;76;18294;0.0877495997809538;1;183;1
2bdf67e630f;2;25;25011;1;4;1;;1;1;5;5;43;31;0;6;0;0;0;;0;0;0;2306;179;222;248;;;97;5;19;15;17;;18294;0.0877495997809538;1;183;1
a2400c55270;2;25;25011;1;5;1;;1;1;5;8;21;31;0;4;0;0;0;0;0;0;0;3344;178;;244;;63;181;162;;52;85;97;18294;0.0877495997809538;1;183;1
48c8f87ca4c;2;25;25011;1;7;1;1;0;2;3;5;62;23;1;1;0;0;0;1;1;1;;7101;;;2512;598;;1270;;273;184;;499;18294;0.0877495997809538;1;183;1
632798b3c78;2;25;25012;1;1;1;1;1;1;2;7;43;;0;4;0;0;0;0;0;0;;;26;40;235;83;;;;;;57;;18294;0.0877495997809538;1;183;1
1446b9fd2cb;2;25;25012;1;1;1;2;2;1;1;5;41;31;1;4;0;0;0;;0;0;0;;29;37;;;;;4;;;;;18294;0.0877495997809538;1;183;1
b6b3e1ccf00;2;25;25013;1;3;1;3;;2;3;5;;21;1;2;1;1;0;1;;1;1;3095;75;;2912;;;3047;371;;223;;770;18294;0.0877495997809538;1;183;1
9ff6bba316d;2;25;25013;1;3;1;1;1;;3;5;71;;1;2;1;;1;1;1;1;1;3519;;677;4136;603;;;675;231;;;;18294;0.0877495997809538;1;183;1
8a0b1dcbc43;2;25;25013;1;4;;2;2;2;3;5;61;21;1;2;0;0;;1;1;0;;;;;;324;;;393;231;;;;18294;0.0877495997809538;1;183;1
2d0538e2173;2;25;25013;1;4;1;3;1;2;;1;21;21;1;2;;0;0;0;1;0;0;;25;;2200;97;99;;;;590;205;;18294;0.0877495997809538;1;183;1
31f77e1b808;2;25;25013;1;3;1;2;2;6;3;5;71;12;1;2;0;0;1;1;1;;1;;;;;321;;;306;;;471;797;18294;0.0877495997809538;1;183;1
80c2346ed10;2;25;25013;1;3;2;3;2;2;2;5;11;21;1;2;0;;1;;1;;0;;88;;1844;304;;;;;;;535;18294;0.0877495997809538;1;183;1
aae33f4f4f1;2;25;25014;1;2;1;1;1;;8;2;21;21;1;2;0;0;0;0;0;0;;;12;;874;;;90;;18;;;281;18294;0.0877495997809538;1;183;1
24263a0c9b3;2;25;25014;1;2;1;2;1;2;2;7;31;;1;5;1;0;0;0;0;1;1;;76;259;;193;;;;145;;299;;18294;0.0877495997809538;1;183;1
faaf788f31c;2;25;25015;1;4;1;;2;1;3;5;;22;1;4;0;1;0;0;0;0;0;3141;136;233;890;191;;;125;;;;302;18294;0.0877495997809538;1;183;1
b304fbb236e;2;25;25015;1;4;1;;2;1;;5;21;31;1;2;0;0;0;0;;0;0;;;;723;236;174;215;;;;19;207;18294;0.0877495997809538;1;183;1
8225c35525b;2;25;25015;1;8;1;4;;1;2;5;43;23;0;6;0;0;0;0;0;1;0;5052;;;688;;194;323;19;52;;116;;18294;0.0877495997809538;1;183;1
b065e74decb;2;25;25015;1;3;1;1;1;1;3;5;32;31;0;6;0;0;0;0;0;0;0;;;;602;;95;205;202;57;30;102;;18294;0.0877495997809538;1;183;1
3c02eeb86e1;2;25;25015;1;4;1;1;1;1;5;7;32;23;0;5;0;0;0;0;0;0;0;2772;;;;244;;;48;;197;236;;18294;0.0877495997809538;1;183;1
5a79279c7e1;2;25;25016;1;3;1;;1;2;2;5;11;31;1;5;0;0;0;0;1;0;;;;;1528;245;;;;;;110;;18294;0.0877495997809538;1;183;1
917bf044acc;2;25;25016;1;4;1;2;1;2;;1;;31;0;4;0;0;0;0;0;0;;;;;1213;;65;;100;;489;;;18294;0.0877495997809538;1;183;1
aaa02646b2d;2;25;25017;1;3;1;2;2;2;3;1;;31;1;5;0;0;0;1;1;1;1;;;;2885;211;;443;;142;165;220;;18294;0.0877495997809538;1;183;1
425bc742d93;2;25;25017;1;3;1;2;2;2;2;5;;21;1;2;0;0;0;1;1;1;0;3228;52;214;2152;209;;;465;;;111;393;18294;0.0877495997809538;1;183;1
c8ff7820acb;2;25;25017;1;3;1;;2;2;3;5;11;11;1;2;0;0;0;1;1;;1;;;537;4372;;;900;;;200;;979;18294;0.0877495997809538;1;183;1
5c2b490a5dd;2;25;25017;1;3;1;3;2;2;;5;11;22;1;5;0;0;0;1;1;1;0;5085;111;;3187;;103;;98;203;;;;18294;0.0877495997809538;1;183;1
980d726cb47;2;25;25017;1;3;1;;4;2;3;1;11;31;1;4;0;0;0;;;1;0;2300;;346;3325;;;;82;54;;106;;18294;0.0877495997809538;1;183;1
69327d49cf1;2;25;25018;1;3;3;4;;1;2;5;43;23;0;4;;0;0;0;0;1;0;2825;;;650;;59;137;;;24;;;18294;0.0877495997809538;1;183;1
3c3fe19344a;2;25;25018;1;2;1;;;1;2;5;11;31;1;4;0;0;0;1;0;0;0;1839;;;928;290;;206;;;81;;;18294;0.0877495997809538;1;183;1
9420c024f67;2;25;25018;1;3;2;2;1;2;3;5;11;31;1;4;0;0;0;0;0;0;0;;;163;1984;81;;;8;;;;198;18294;0.0877495997809538;1;183;1
bc4be8ad918;2;25;25019;1;4;1;;;;3;1;21;;1;2;1;0;;1;;1;1;2403;27;;2422;258;;;;151;374;;;18294;0.0877495997809538;1;183;1
40355150a5b;2;25;25019;1;5;1;5;3;6;3;1;11;11;1;2;0;0;1;1;1;1;;3180;;996;3251;328;;979;;224;;228;;18294;0.0877495997809538;1;183;1
56dcc737716;2;25;25020;1;4;1;3;3;1;3;5;32;23;0;4;0;1;0;0;;1;0;4039;392;262;;;;210;;;;48;;18294;0.0877495997809538;1;183;1
d1b04a65740;2;25;25020;1;8;1;4;3;1;;1;;23;0;4;1;1;0;0;0;1;1;;221;;2227;455;;;546;;1186;;;18294;0.0877495997809538;1;183;1
faf741afc99;2;25;25020;1;6;1;;1;1;5;;21;21;1;4;0;0;1;1;1;0;;;;;;672;73;;60;82;251;;623;18294;0.0877495997809538;1;183;1
1f745ff918d;2;25;25021;1;3;1;2;1;1;5;5;11;;1;5;0;0;0;;1;1;0;;34;407;771;727;;;;498;;29;;18294;0.0877495997809538;1;183;1
1f98ab1b237;2;25;25021;1;3;1;3;1;2;;5;11;31;;;0;0;0;1;0;0;0;;39;;2415;;243;559;;213;;;1201;18294;0.0877495997809538;1;183;1
e8ef51b1cba;2;25;25021;1;4;1;4;2;;3;1;21;21;1;6;0;1;0;1;1;1;1;2453;;838;2560;;160;633;268;;615;429;;18294;0.0877495997809538;1;183;1
87d2c2507b1;2;25;25022;1;5;1;5;3;2;;5;11;96;1;2;0;0;0;1;1;1;1;;;557;3085;230;322;;;;309;;;18294;0.0877495997809538;1;183;1
35597cff5f7;2;25;25023;1;5;1;3;2;2;3;5;61;21;1;2;0;0;0;;;1;0;;;;2393;166;108;;49;;624;;686;18294;0.0877495997809538;1;183;1
be0a08a1aca;2;25;25023;1;5;1;3;2;1;3;1;21;31;1;4;1;0;1;1;1;1;1;;78;;;383;;1542;;;;;1011;18294;0.0877495997809538;1;183;1
ac694dbea21;2;25;25023;1;3;1;2;2;2;;1;21;21;1;2;0;0;1;1;1;1;0;2408;23;;;;;;63;60;373;176;543;18294;0.0877495997809538;1;183;1
adae7704eca;2;25;25023;1;3;1;;2;2;3;5;51;;1;3;0;0;0;1;1;1;1;;148;512;;;;;;316;178;450;;18294;0.0877495997809538;1;183;1
72da10da5b3;2;25;25024;1;3;2;;1;;2;5;51;21;1;3;0;0;1;0;1;0;;3349;;;;;;;;52;47;370;;18294;0.0877495997809538;1;183;1
72a806094d9;2;25;25024;1;5;;3;;2;3;5;;21;1;2;1;0;0;1;1;1;;;32;;2043;184;125;;96;85;;197;514;18294;0.0877495997809538;1;183;1
ccb666c2bef;2;25;25024;1;4;1;;2;2;3;1;21;31;1;4;0;1;1;0;1;0;0;2884;65;;2660;;;471;166;176;435;;;18294;0.0877495997809538;1;183;1
9ce0f0ec38a;2;25;25025;1;2;1;2;1;2;5;1;21;;1;4;0;0;0;0;0;0;0;2332;;;553;152;;;;;;57;94;18294;0.0877495997809538;1;183;1
8c566ec1113;2;25;25026;1;4;;1;1;1;1;5;;31;0;3;0;0;0;0;0;0;0;;251;358;383;;;;;117;56;;141;18294;0.0877495997809538;1;183;1
f93b49b2de1;2;25;25027;2;7;1;2;1;;3;1;;31;1;2;0;0;0;1;1;1;1;3733;;;;213;;;;170;641;197;;18294;0.0877495997809538;1;183;1
30acb273dff;2;25;25028;1;7;1;2;1;1;5;5;43;31;0;4;0;0;0;0;0;0;0;2985;;;306;209;59;139;20;44;91;;70;18294;0.0877495997809538;1;183;1
348cbacb7ed;2;25;25028;1;7;1;3;2;2;3;5;11;31;1;4;0;0;;1;1;0;0;;;;3204;;;;48;185;;;578;18294;0.0877495997809538;1;183;1
8490ab03a5e;2;25;25028;1;7;1;1;1;1;5;;11;31;0;4;0;0;0;0;0;0;0;;225;;412;274;;125;;36;;;;18294;0.0877495997809538;1;183;1
83c9b870632;2;25;25028;1;7;1;1;1;1;3;7;32;31;;4;0;0;0;0;0;0;0;4708;;227;;;;;12;;51;;;18294;0.0877495997809538;1;183;1
0a66890024b;2;25;25028;1;7;1;2;1;1;;7;;31;0;4;0;0;0;0;0;1;0;;;330;648;272;;;199;;84;112;;18294;0.0877495997809538;1;183;1
6997f6b2267;2;25;25029;1;7;1;3;2;1;2;7;;23;0;4;;0;0;0;0;0;0;;;241;;;;;73;66;67;;133;18294;0.0877495997809538;1;183;1
a281f3dca24;2;25;25030;1;4;3;3;;1;;5;51;21;1;4;0;0;0;0;1;1;1;;;;987;538;186;;259;;239;;302;18294;0.0877495997809538;1;183;1
eaff0d00bf6;2;25;25030;1;4;3;1;1;1;2;8;43;31;0;2;0;0;0;0;;1;;2293;19;541;;154;;;9;;;;;18294;0.0877495997809538;1;183;1
94d46de7cf4;2;25;25030;1;3;3;1;0;2;3;;11;22;1;2;0;0;0;1;1;1;1;;61;;2930;297;;426;309;;136;;934;18294;0.0877495997809538;1;183;1
f0c26fa741b;2;25;25031;1;7;1;2;1;1;5;5;32;23;0;;0;0;0;0;0;0;0;2602;;244;401;197;54;;13;33;88;112;116;18294;0.0877495997809538;1;183;1
1f495db532a;2;25;25031;1;11;1;1;1;1;3;5;32;;0;4;;0;0;;0;1;0;;;;;;136;;;238;163;;128;18294;0.0877495997809538;1;183;1
ce5abe23b19;2;25;25031;1;7;1;1;1;;5;;21;31;1;6;0;0;;0;;0;0;2986;;316;265;;;139;0;48;84;;86;18294;0.0877495997809538;1;183;1
7aa28a72ae0;2;25;25031;1;8;1;1;1;1;;7;;31;0;4;0;0;;0;0;1;0;;;;;;;;67;;163;;;18294;0.0877495997809538;1;183;1
521cc5913f8;2;25;25031;1;7;1;3;3;1;2;7;11;31;1;4;0;0;0;1;0;0;0;6714;53;935;1811;517;558;;;;286;232;;18294;0.0877495997809538;1;183;1
8fb9351075d;2;25;25031;1;4;1;1;1;1;5;7;43;31;0;4;0;0;0;0;0;0;0;;247;;432;269;;;;38;;;;18294;0.0877495997809538;1;183;1
bde45fbbdef;2;25;25031;1;6;1;;1;1;5;5;11;31;1;4;0;0;0;0;0;1;0;;;;511;;;338;;;141;31;168;18294;0.0877495997809538;1;183;1
0c636afe830;2;25;25031;1;7;1;1;0;2;2;5;11;96;1;1;0;0;0;1;1;0;1;3686;104;;1759;;;;;;;437;;18294;0.0877495997809538;1;183;1
5642b494905;2;25;25031;1;9;1;1;;1;2;7;32;31;0;4;;0;;0;0;1;1;10085;173;;779;283;141;;;;132;;81;18294;0.0877495997809538;1;183;1
c5d9a95e265;2;25;25031;1;6;1;1;;1;2;8;21;31;0;6;;0;0;0;0;0;0;5467;75;638;;;;;;49;80;;217;18294;0.0877495997809538;1;183;1
3e2c07a65de;2;25;25032;1;3;3;3;2;6;;1;11;11;1;2;0;;1;1;;;0;1857;;423;1965;;93;;106;;287;166;;18294;0.0877495997809538;1;183;1
c2dc1677e00;2;25;25032;1;2;1;;3;6;3;1;11;11;1;5;1;0;0;1;;0;1;;19;;;;;871;363;;61;171;;18294;0.0877495997809538;1;183;1
e5e47a6d3e2;2;25;25033;1;1;1;3;1;2;3;1;11;11;1;2;;0;0;;1;1;;2288;;;;645;;2532;470;;;;;18294;0.0877495997809538;1;183;1
656d544a131;2;25;25033;1;2;2;2;1;2;3;1;11;11;1;2;1;0;1;1;1;1;1;;;;2314;;;1645;;;;;;18294;0.0877495997809538;1;183;1
30bdeb93f7a;2;25;25033;1;2;1;4;1;6;3;1;11;11;1;2;1;;1;1;;0;1;2248;;;3828;;;2686;536;280;319;370;;18294;0.0877495997809538;1;183;1
e520dc6fb2f;2;25;25033;1;2;1;3;2;2;3;;21;11;1;2;1;1;1;1;1;;1;3397;;1204;5368;1025;425;;1254;580;;1023;1275;18294;0.0877495997809538;1;183;1
cb1955b9b18;2;25;25034;1;4;1;1;;2;3;5;11;21;0;4;0;;0;;0;0;0;2531;43;;1604;;;;16;;;175;;18294;0.0877495997809538;1;183;1
ecf5eb346d8;2;25;25034;1;5;1;1;1;;5;7;43;31;0;4;0;0;;0;0;0;0;2757;190;242;327;;;;;34;43;79;;18294;0.0877495997809538;1;183;1
54ab716340a;2;25;25034;1;4;1;2;1;;5;7;;31;0;4;0;0;0;0;1;0;0;5113;323;;505;422;70;;111;;;;234;18294;0.0877495997809538;1;183;1
96e70811fb4;2;25;25034;1;5;1;2;1;1;8;7;43;31;0;;0;0;;0;0;0;0;7410;;;1027;200;130;147;;;;58;35;18294;0.0877495997809538;1;183;1
70e7512bb81;2;25;25034;1;4;1;3;1;2;3;9;;31;1;2;0;0;;0;0;0;;;12;;2088;;;;26;47;316;91;;18294;0.0877495997809538;1;183;1
94e3c43fc55;2;25;25035;2;5;1;4;3;2;3;5;61;13;0;;0;1;1;0;1;0;1;;244;1036;;;;1180;621;;;345;917;18294;0.0877495997809538;1;183;1
797372641bc;2;25;25035;2;5;2;1;1;6;3;1;11;31;1;2;1;;0;1;1;0;1;3231;;;;267;;;;139;;316;993;18294;0.0877495997809538;1;183;1
45bac121264;2;25;25035;2;4;1;2;1;1;7;5;11;31;1;;0;0;0;0;1;0;;;66;;1468;860;;;122;;;108;457;18294;0.0877495997809538;1;183;1
7d9f274b77d;2;25;25035;2;4;1;3;2;2;3;1;11;;1;2;;0;;1;1;0;1;3593;41;817;4244;514;487;;;;;;;18294;0.0877495997809538;1;183;1
dfb871ff64b;2;25;25035;2;4;1;3;2;2;3;1;11;21;1;2;0;0;0;1;1;1;;;;;;213;;598;389;;337;;;18294;0.0877495997809538;1;183;1
9bf1c04ae11;2;25;25035;2;4;2;1;1;2;3;1;12;31;1;2;0;0;0;1;1;1;1;2686;;;;;;;235;116;311;168;;18294;0.0877495997809538;1;183;1
009b6d86284;2;25;25036;1;5;1;;1;1;3;4;21;31;0;4;0;;0;0;0;1;0;3915;224;;493;;;273;152;;246;;;18294;0.0877495997809538;1;183;1
6f308d39014;2;25;25036;1;2;1;3;2;1;5;5;21;21;1;6;0;0;;1;0;1;0;;;;793;348;;;48;35;21;81;;18294;0.0877495997809538;1;183;1
2d362f316fb;2;25;25036;1;5;1;4;1;2;3;;62;23;1;1;0;0;;1;1;1;1;5992;;;3143;612;191;1117;;337;;;;18294;0.0877495997809538;1;183;1
e9fd20ff03f;2;25;25036;1;4;1;4;2;1;3;5;;96;1;4;0;0;0;;;0;0;4464;272;340;2105;;140;;;158;218;126;309;18294;0.0877495997809538;1;183;1
b23c32e3066;2;25;25037;1;4;1;1;1;1;2;7;43;31;0;4;0;0;0;0;;0;;5549;117;;;115;;;12;46;19;;;18294;0.0877495997809538;1;183;1
0b91b8ea022;2;25;25037;1;4;1;3;2;1;2;5;51;23;0;4;0;0;0;0;1;;0;;321;318;1149;389;86;;31;134;112;;;18294;0.0877495997809538;1;183;1
717ceeb2341;2;25;25038;2;1;1;4;2;2;;6;11;11;1;;1;0;0;1;1;1;;1437;;;;860;;670;538;260;;;551;18294;0.0877495997809538;1;183;1
4945f5afde2;2;25;25038;2;2;2;4;;2;3;5;11;22;1;2;0;;;1;;0;1;;;334;4567;199;;;367;123;;;;18294;0.0877495997809538;1;183;1
9c686805572;2;25;25038;2;2;1;2;1;2;3;5;11;31;1;2;0;0;0;1;1;1;0;1411;14;149;1873;97;125;;80;53;42;;;18294;0.0877495997809538;1;183;1
1782e470277;2;25;25038;2;2;1;2;1;2;3;5;11;11;1;2;0;0;0;1;1;0;1;;112;722;;530;260;;710;386;;;1102;18294;0.0877495997809538;1;183;1
2fd2eaa1d97;2;25;25040;1;8;1;2;2;2;;1;21;31;1;4;0;1;1;1;1;;;;;;3442;;;994;226;375;1000;;;18294;0.0877495997809538;1;183;1
509f9d1937e;2;25;25040;1;5;1;3;2;;5;5;;;1;2;0;1;1;1;1;1;0;5652;;809;;;;1476;;;196;;560;18294;0.0877495997809538;1;183;1
42dcc4455d3;2;25;25040;1;7;2;7;;2;3;9;11;21;1;4;;1;0;1;1;1;1;;114;1247;3904;720;;;651;401;1364;315;1468;18294;0.0877495997809538;1;183;1
79851100f02;2;25;25040;1;6;1;4;3;2;3;1;21;21;1;4;0;0;0;1;1;;1;3971;;;3590;;;;262;197;639;;;18294;0.0877495997809538;1;183;1
696c2fd5609;2;25;25040;1;8;2;1;1;;;5;41;12;1;3;0;0;1;0;1;0;1;;;;;1612;;1016;;849;;305;759;18294;0.0877495997809538;1;183;1
c4d48dab649;2;25;25040;1;6;1;3;;2;3;1;11;11;1;2;1;0;1;1;1;1;1;;;;3418;368;;;428;;734;317;1143;18294;0.0877495997809538;1;183;1
49e41121693;2;25;25041;1;3;1;2;2;1;3;7;21;31;1;4;0;1;0;0;0;1;0;3624;;343;901;263;129;;;142;71;;;18294;0.0877495997809538;1;183;1
614dd47c00b;2;25;25041;1;4;1;2;1;1;3;5;42;96;1;4;0;1;0;0;0;0;0;3533;103;;;186;;;;;147;;200;18294;0.0877495997809538;1;183;1
cc546a12044;2;25;25041;1;4;;1;1;1;3;5;21;96;1;4;0;0;0;0;1;0;;4370;;;1105;;112;;;;;;;18294;0.0877495997809538;1;183;1
160976fa51a;2;25;25042;1;3;1;2;2;6;3;1;21;21;1;4;0;1;0;1;1;1;0;;;624;2491;;108;;;;;408;716;18294;0.0877495997809538;1;183;1
a14fe7918bc;2;25;25042;1;3;1;4;;1;;5;21;31;1;4;0;0;0;0;1;1;0;;;;1397;417;;;;252;;170;;18294;0.0877495997809538;1;183;1
9eff67ae750;2;25;25042;1;5;1;1;;2;2;5;61;31;1;2;0;;1;0;1;0;0;3009;;;1185;350;;;;;245;;;18294;0.0877495997809538;1;183;1
661135ec22c;2;25;25042;1;4;1;2;1;1;5;9;;12;1;2;1;1;1;1;;0;;6234;;844;;;;;;1312;;;;18294;0.0877495997809538;1;183;1
d1e2572e510;2;25;25042;1;5;2;2;1;2;5;1;11;21;1;2;0;0;;0;;1;1;3975;35;;1835;374;248;;221;202;;278;522;18294;0.0877495997809538;1;183;1
bd911bf2e62;2;25;25042;1;4;1;2;1;;;;11;31;0;4;0;0;0;0;0;0;0;3695;;749;1214;;141;319;141;112;;;;18294;0.0877495997809538;1;183;1
2eafc151864;2;25;25043;1;2;2;4;3;2;3;1;11;11;1;2;0;0;;1;1;1;1;;;581;;416;;799;;166;;;810;18294;0.0877495997809538;1;183;1
790a724bc90;2;25;25043;1;2;1;4;2;2;;1;21;11;1;2;0;1;1;1;1;1;1;;;;;;374;;1579;380;;307;;18294;0.0877495997809538;1;183;1
822a62d11da;2;25;25043;1;3;1;3;2;2;3;1;11;11;1;2;1;0;0;1;1;1;1;2640;;;2805;343;;1786;;;467;;777;18294;0.0877495997809538;1;183;1
55b27694b79;2;25;25043;1;2;1;;2;2;;9;11;22;1;5;0;0;;1;1;1;1;5677;127;;5357;;;874;411;374;;;632;18294;0.0877495997809538;1;183;1
b85d68de45c;2;25;25044;1;1;1;1;1;1;;;11;31;0;4;0;0;0;0;0;0;0;1231;69;;186;;;81;;;8;;52;18294;0.0877495997809538;1;183;1
2389bb35c7b;2;25;25044;1;1;1;;1;2;3;;12;31;0;5;0;0;0;;0;1;0;2488;;;;;48;472;;176;;762;;18294;0.0877495997809538;1;183;1
6a30d902d40;2;25;25044;1;3;1;;1;1;5;7;43;31;0;4;0;0;0;0;0;0;0;;302;;399;;57;;29;;32;71;;18294;0.0877495997809538;1;183;1
